code,title,readme
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),(Replace these fields with the data you want. “code” is what finds the data. “title” is for your own use)
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),
